source	line	marker	disposition
.planning/ROADMAP.md	12	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	13	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	15	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	16	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	18	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	20	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	70	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	71	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	72	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	150	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	151	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	152	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/ROADMAP.md	431	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	16	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	17	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	18	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	19	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	20	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	21	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-3-public-api/PLAN.md	22	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	9	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	10	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	11	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	12	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	13	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	14	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	17	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	18	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	19	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	20	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	21	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	24	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	25	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	26	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	27	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-4-tidehunter-pro/REQUIREMENTS.md	28	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-9-academy-flow/reports/agent2-compose.md	31	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
.planning/phases/phase-9-academy-flow/reports/agent2-compose.md	34	actionable_or_historical_marker	triage_against_INVENTORY_no_auto_build
